Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Alfie Whiteman,"Oct 2, 1998 (22)",Goalkeeper,€1.00m,"Jun 30, 2025","Jul 1, 2019",21.0,0.0,0.0,4.0,'0'
Alfie Whiteman,"Oct 2, 1998 (22)",Goalkeeper,€1.00m,"Jun 30, 2025","Jul 1, 2019",2.0,0.0,0.0,8.0,'0'
Oliver Skipp,"Sep 16, 2000 (20)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2027","Jul 1, 2018",47.0,1.0,2.0,7.0,'0'
Joe Hart,"Apr 19, 1987 (34)",Goalkeeper,€2.00m,"Jun 30, 2024","Aug 3, 2021",54.0,0.0,0.0,20.0,'0'
Eric Dier,"Jan 15, 1994 (27)",Defender - Centre-Back,€22.00m,"Jun 30, 2024","Jul 31, 2014",39.0,0.0,0.0,7.0,'0'
Steven Bergwijn,"Oct 8, 1997 (23)",Attack - Left Winger,€22.00m,"Jun 30, 2025","Jan 19, 2020",35.0,1.0,5.0,7.0,'0'
Tanguy Ndombélé,"Dec 28, 1996 (24)",Midfield - Central Midfield,€50.00m,"Jun 30, 2024","Jul 2, 2019",31.0,3.0,3.0,4.0,'0'
Sergio Reguilón,"Dec 16, 1996 (24)",Defender - Left-Back,€25.00m,"Jun 30, 2025","Sep 19, 2020",36.0,0.0,5.0,7.0,'0'
Hugo Lloris,"Dec 26, 1986 (34)",Goalkeeper,€9.00m,"Dec 31, 2025","Jan 31, 2024",46.0,0.0,0.0,20.0,'0'
Japhet Tanganga,"Mar 31, 1999 (22)",Defender - Centre-Back,€8.00m,"Jun 30, 2024","Jan 1, 2020",13.0,0.0,0.0,7.0,'0'
Ryan Sessegnon,"May 18, 2000 (21)",Defender - Left-Back,€18.00m,"Jun 30, 2024","Aug 8, 2019",23.0,2.0,1.0,8.0,'0'
Harry Winks,"Feb 2, 1996 (25)",Midfield - Defensive Midfield,€20.00m,"Jun 30, 2024","Jul 1, 2016",30.0,1.0,2.0,4.0,'0'
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,"May 31, 2029","Jul 1, 2022",31.0,1.0,1.0,20.0,'0'
Dane Scarlett,"Mar 24, 2004 (17)",Attack - Centre-Forward,€250k,"Jun 30, 2027","Jul 1, 2023",20.0,0.0,0.0,5.0,'0'
Cameron Carter-Vickers,"Dec 31, 1997 (23)",Defender - Centre-Back,€2.00m,"May 31, 2029","Jul 1, 2022",39.0,1.0,0.0,20.0,'0'
Lucas Moura,"Aug 13, 1992 (28)",Attack - Right Winger,€25.00m,"Aug 2, 2023","Jan 31, 2018",45.0,6.0,8.0,4.0,'0'
Ben Davies,"Apr 24, 1993 (28)",Defender - Centre-Back,€16.00m,"Jun 30, 2025","Jul 23, 2014",40.0,2.0,2.0,8.0,'0'
Joe Hart,"Apr 19, 1987 (34)",Goalkeeper,€2.00m,"Jun 30, 2024","Aug 3, 2021",50.0,0.0,0.0,20.0,'0'
Carlos Vinícius,"Mar 25, 1995 (26)",Attack - Centre-Forward,€18.00m,"Jun 30, 2025","Sep 1, 2022",30.0,5.0,1.0,13.0,'0'
Giovani Lo Celso,"Apr 9, 1996 (25)",Midfield - Central Midfield,€27.00m,"Jun 30, 2025","Jul 1, 2020",28.0,5.0,1.0,7.0,'0'
Paulo Gazzaniga,"Jan 2, 1992 (29)",Goalkeeper,€3.00m,"Jun 30, 2027","Jul 1, 2023",38.0,0.0,0.0,3.0,'0'
Davinson Sánchez,"Jun 12, 1996 (25)",Defender - Centre-Back,€32.00m,"Jun 30, 2024","Aug 23, 2017",32.0,2.0,0.0,4.0,'0'
